Month,Year,TotalJobsPrivateAndGovernment,TotalJobsProfessionalAndBusiness,TotalJobsProfSciAndTechServ
Jan,2007,2609700,397600,220700
Feb,2007,2602400,397700,221200
Mar,2007,2611600,398800,221800
Apr,2007,2607400,398300,221600
May,2007,2611300,398700,222000
Jun,2007,2611200,399200,222200
Jul,2007,2613600,399200,222400
Aug,2007,2614000,399500,222600
Sep,2007,2611800,399900,222300
Oct,2007,2611600,400400,222900
Nov,2007,2613600,400900,223600
Dec,2007,2616400,401700,224200
Jan,2008,2620800,402400,225800
Feb,2008,2620100,402100,225700
Mar,2008,2615100,400900,225600
Apr,2008,2617000,401900,226300
May,2008,2611500,400900,226000
Jun,2008,2604600,399800,226000
Jul,2008,2605400,400400,226600
Aug,2008,2602000,399400,225800
Sep,2008,2595000,398900,226400
Oct,2008,2588600,396500,226000
Nov,2008,2578900,395300,226200
Dec,2008,2570900,393100,226200
Jan,2009,2556500,391100,226500
Feb,2009,2549400,389100,225700
Mar,2009,2538600,387200,225100
Apr,2009,2531400,385500,224500
May,2009,2532100,385100,224300
Jun,2009,2530200,385700,224200
Jul,2009,2519200,382700,223600
Aug,2009,2517500,383300,223800
Sep,2009,2512200,382500,223000
Oct,2009,2512100,382600,222600
Nov,2009,2509700,382900,222600
Dec,2009,2505800,382900,222200
Jan,2010,2505500,382800,221900
Feb,2010,2473100,379900,221300
Mar,2010,2508200,385300,223300
Apr,2010,2523000,388000,224000
May,2010,2530900,388500,224500
Jun,2010,2531700,390700,225400
Jul,2010,2528200,389500,225000
Aug,2010,2528200,389500,225300
Sep,2010,2527100,390000,226000
Oct,2010,2534600,395000,227100
Nov,2010,2532300,392700,227300
Dec,2010,2535600,394700,227900
Jan,2011,2536100,395400,227800
Feb,2011,2539800,396000,228100
Mar,2011,2544100,396700,228400
Apr,2011,2544800,398200,229300
May,2011,2542800,398500,229200
Jun,2011,2543800,399800,229800
Jul,2011,2554900,403300,230600
Aug,2011,2547600,402800,230800
Sep,2011,2552600,404100,231100
Oct,2011,2556800,405000,231500
Nov,2011,2554100,406200,232000
Dec,2011,2560700,407100,232500
Jan,2012,2568900,408200,233100
Feb,2012,2570500,408000,232900
Mar,2012,2577800,410400,233900
Apr,2012,2572400,408800,233500
May,2012,2571100,410800,234800
Jun,2012,2575300,411400,234700
Jul,2012,2576500,411900,234500
Aug,2012,2577000,413300,234800
Sep,2012,2584600,415100,235400
Oct,2012,2587100,415300,235700
Nov,2012,2585500,416100,235800
Dec,2012,2591600,416900,235800
Jan,2013,2598000,418500,236400
Feb,2013,2598800,419700,236900
Mar,2013,2601800,421500,237500
Apr,2013,2599000,417600,236100
May,2013,2599200,417900,236200
Jun,2013,2604000,418500,236400
Jul,2013,2605100,418600,237200
Aug,2013,2603000,419700,237900
Sep,2013,2605000,421000,239200
Oct,2013,2603900,419900,237300
Nov,2013,2608600,420700,238000
Dec,2013,2604500,420800,238800
Jan,2014,2607300,421100,238800
Feb,2014,2606400,422800,239400
Mar,2014,2608800,423200,239400
Apr,2014,2616500,425300,240600
May,2014,2622500,427300,240700
Jun,2014,2626100,427000,241100
Jul,2014,2623000,427000,240700
Aug,2014,2631300,426300,240500
Sep,2014,2635400,427200,241400
Oct,2014,2637000,427300,241300
Nov,2014,2640600,427800,241700
Dec,2014,2643400,429600,241900
Jan,2015,2643100,429000,242000
Feb,2015,2647400,429600,242000
Mar,2015,2642400,428200,242200
Apr,2015,2651700,430600,241900
May,2015,2664600,434400,243100
Jun,2015,2664000,432500,243500
Jul,2015,2667200,434400,243900
Aug,2015,2670100,435400,244100
Sep,2015,2671500,434700,244200
Oct,2015,2680400,437500,245100
Nov,2015,2681900,439400,245500
Dec,2015,2687100,440400,245700
Jan,2016,2685000,440700,245400
Feb,2016,2682900,439900,245800
Mar,2016,2686800,438900,245000
Apr,2016,2692500,440400,246900
May,2016,2689400,441300,247300
Jun,2016,2689600,441500,247000
Jul,2016,2696000,442400,247900
Aug,2016,2700600,443400,248300
Sep,2016,2709700,443400,248000
Oct,2016,2709100,444100,247700
Nov,2016,2713600,443400,247600
Dec,2016,2716600,443100,247600
Jan,2017,2718000,444900,248500
Feb,2017,2721200,444300,248100
Mar,2017,2721500,444200,248300
Apr,2017,2720400,443300,247400
May,2017,2722300,444000,247600
Jun,2017,2728000,445500,248400
Jul,2017,2725900,444800,248500
Aug,2017,2728400,444900,248900
Sep,2017,2730800,445900,249500
Oct,2017,2734700,446200,249500
Nov,2017,2736300,445700,250000
Dec,2017,2733100,447700,250200
Jan,2018,2738200,448700,250300
Feb,2018,2745700,449900,250900
Mar,2018,2747400,450700,251500
Apr,2018,2745100,451200,251500
May,2018,2747400,451800,252000
Jun,2018,2752000,452400,252200
Jul,2018,2757600,454400,252400
Aug,2018,2758300,454800,252200
Sep,2018,2756100,455700,253100
Oct,2018,2758400,456300,254200
Nov,2018,2762000,457500,254500
Dec,2018,2759700,457200,254100
Jan,2019,2769400,460500,256600
Feb,2019,2768100,461900,257000
Mar,2019,2769700,461400,256600
Apr,2019,2768000,462300,258300
May,2019,2768300,462300,258600
Jun,2019,2767000,463100,258899
Jul,2019,2769200,463000,259700
Aug,2019,2767800,463500,260300
Sep,2019,2765900,463000,260000
Oct,2019,2765300,463500,256200
Nov,2019,2776100,468200,260899
Dec,2019,2784200,469800,262100
