year,gradstudusandpr,gradstudintl,gradstudtotal
1980,316776,50302,367078
1981,320655,54475,375130
1982,314458,67833,382291
1983,317185,73247,390432
1984,319648,75022,394670
1985,324081,79940,404021
1986,328234,87286,415520
1987,329350,92147,421497
1988,327279,97244,424523
1989,332503,101975,434478
1990,345047,107066,452113
1991,358025,113187,471212
1992,379605,113917,493522
1993,393985,110319,504304
1994,397852,106547,504399
1995,396755,102885,499640
1996,391095,102984,494079
1997,383327,103881,487208
1998,378560,107067,485627
1999,377802,115454,493256
2000,364894,128417,493311
2001,368737,140870,509607
2002,387416,152988,540404
2003,412105,155016,567121
2004,423218,151245,574463
2005,434730,147496,582226
2006,446625,151018,597643
2007,460294,159205,619499
2008,463450,168039,631489
2009,459648,171997,631645
2010,458492,174160,632652
2011,450523,176297,626820
2012,443697,183546,627243
2013,436296,196714,633010
2014,439309,227277,666586
2015,441956,243441,685397
2016,436139,248686,684825
2017,416481,232631,649112
2018,438581,229726,668307
2019,456504,233613,690117
2020,487051,210762,697813
2021,515597,244559,760156
2022,500299,298235,798534
2023,495808,322287,818095
