Year,January,February,March,April,May,June,July,August,September,October,November,December
2015,80,78,81,84,88,80,82,82,82,89,78,75
2016,88,86,76,92,72,85,79,78,80,78,85,82
2017,89,82,77,68,78,79,84,90,97,90,88,96
2018,94,93,93,93,96,89,85,89,87,86,100,84
2019,92,90,98,95,99,94,97,93,94,97,92,95
2020,83,96,73,40,68,55,84,91,98,124,88,83
2021,97,95,101,123,103,110,112,118,119,128,112,117
2022,128,80,110,111,108,119,102,110,96,101,108,89
2023,71,88,107,80,61,75,80,61,72,49,68,74
2024,72,89,80,75,82,75,77,84,81,69,77,78
2025,80,79,83,89,84,99,86,77,76,72,,
